studno,studentname,birthday,degree,major,unitsearned
2000-68348,Pearle Vanne,1994-08-23,Bachelor of Science in Agricultural Extension,quis lectus suspendisse,71
1996-55698,Isidro Mathews,1996-02-04,Bachelor of Science in Nutrition,montes nascetur,76
2013-63836,Elfie Erskine,1995-02-25,Bachelor of Arts in Communication Arts,in hac,187
1990-10993,Elizabeth Ambridge,1998-10-07,Bachelor of Science in Agricultural Business,cum sociis natoque,49
2015-18168,Milo MacFadzean,1998-04-02,Bachelor of Science in Botany,morbi a,82
2004-03391,Francklin Judgkins,1995-02-10,Bachelor of Agriculture,rhoncus mauris enim,22
2017-13878,Bjorn Hartless,1994-01-13,Bachelor of Science in Industrial Engineering,phasellus,178
2015-35946,Nonie Cafferty,1996-05-20,Bachelor of Arts in Communication Arts,massa id nisl,8
2015-45535,Roma Yearn,1995-06-19,Bachelor of Science in Applied Mathematics,pretium quis lectus,56
2009-97675,Daffi Roughey,1998-01-04,Bachelor of Science in Sugar Technology,vel pede,98
2010-79808,Liza Gasken,1996-02-22,Bachelor of Science in Home Technology,in,6
2004-49990,Malia Wegman,1997-09-19,Bachelor of Science in Agriculture,rhoncus sed vestibulum,150
2010-94894,Dion Belfit,2000-10-24,Bachelor of Science in Agricultural Business,risus praesent lectus,24
2005-73678,Napoleon Bamb,1997-03-16,Bachelor of Science in Agricultural Engineering,in,71
2017-48997,Giulio Peyton,1994-02-26,Bachelor of Science in Nutrition,natoque penatibus et,96
2009-18109,Andie Lugard,1999-07-27,Bachelor of Science in Forest Products Engineering,at,194
2011-88728,Juieta Moylane,1990-04-03,Bachelor of Science in Agricultural Biotechnology,hac habitasse platea,41
2016-21433,Dena Willacot,1999-05-11,Bachelor of Science in Human Ecology,ultrices,131
2004-75603,Petr Way,1996-04-12,Bachelor of Science in Electrical Engineering,enim lorem,133
2007-53158,Hally Swindin,1998-08-08,Bachelor of Science in Applied Physics,nulla nisl nunc,127
2000-21355,Monique Goucher,1991-04-28,Bachelor of Science in Electrical Engineering,nisl duis,12
2004-09254,Georgianna Tomas,1991-07-09,Bachelor of Science in Chemistry,id,113
2010-70698,Corey Wilflinger,1994-07-08,Bachelor of Science in Human Ecology,lacinia eget,130
1992-05285,Lidia Liles,1990-02-15,Bachelor of Science in Agribusiness Management,lacus at,196
2002-45919,Conrade Cowdrey,1993-11-09,Bachelor of Science in Agriculture,aliquam sit,67
2016-01024,Pegeen Kittles,1995-12-04,Bachelor of Science in Nutrition,morbi,196
2004-78763,Blisse Sabie,2000-06-13,Bachelor of Science in Statistics,eleifend,89
2012-25268,Arney Creamer,1998-04-15,Bachelor of Science in Math and Science Teaching,ut massa quis,143
2019-70471,Hamlen Golden of Ireland,1998-11-12,Bachelor of Science in Sugar Technology,at,79
2018-43502,Dale Futcher,1999-04-10,Bachelor of Science in Math and Science Teaching,vivamus metus,168
2018-21793,Franz Simmonds,1999-06-28,Bachelor of Science in Agriculture,hac habitasse platea,148
2000-35034,Aurore Ruckhard,1997-10-10,Bachelor of Science in Sugar Technology,vulputate,149
2010-44504,Nadine Hawking,1995-12-28,Bachelor of Arts in Philosophy,in blandit ultrices,119
2010-28282,Waite Scrogges,1991-08-07,Bachelor of Science in Agricultural Extension,habitasse platea dictumst,51
1994-14689,Kassie Hankinson,1997-11-21,Bachelor of Science in Agricultural Engineering,convallis duis,2
2000-29206,Ezequiel Karpets,1997-06-06,Bachelor of Science in Zoology,quisque ut erat,139
2013-87562,Stephani Curror,1997-10-04,Bachelor of Science in Botany,viverra,118
2017-67051,Patricia Leward,1997-10-19,Bachelor of Science in Civil Engineering,faucibus,44
2000-98329,Franni Muress,1999-06-21,Bachelor of Science in Computer Science,curae duis faucibus,153
2007-90169,Jeffy Casaletto,1994-01-28,Bachelor of Science in Zoology,congue diam id,99
2015-90009,Raeann Liddon,1990-02-23,Bachelor of Science in Forest Products Engineering,nam dui proin,33
2004-80279,Gregoor Lusgdin,1997-09-26,Bachelor of Agriculture,nulla pede,191
2015-51361,Ebba Burcher,1997-01-31,Bachelor of Science in Math and Science Teaching,sapien arcu,140
2005-80911,Freddie Grishaev,1991-01-26,Bachelor of Science in Mathematics,habitasse,46
2016-14504,Waylan Welberry,1991-12-17,Bachelor of Science in Food Technology,at velit eu,58
2007-26232,Waylon Haskur,2000-08-27,Bachelor of Arts in Sociology,sit amet erat,175
1995-68820,Gennifer Hollingshead,1998-09-15,Bachelor of Science in Agricultural Education,interdum,173
2016-37234,Margette Wiersma,1996-01-30,Bachelor of Arts in Sociology,augue luctus,167
2007-09035,Carlee Ashbridge,1997-07-24,Bachelor of Science in Agricultural Economics,tortor quis,194
2010-02411,Henryetta Marham,1995-04-13,Bachelor of Science in Agricultural Chemistry,in,101
2018-06087,Sharla Arrighetti,1990-08-26,Bachelor of Science in Industrial Engineering,morbi porttitor lorem,110
2015-85974,Carlee Hartopp,1995-06-06,Bachelor of Science in Applied Mathematics,convallis duis,167
2015-71119,Carlyle Baigent,1999-09-11,Bachelor of Science in Applied Physics,massa quis,80
2009-42955,Colas Morican,1996-12-16,Bachelor of Science in Electrical Engineering,sollicitudin mi,151
2016-01261,Sisile Jentle,1998-07-28,Bachelor of Science in Agricultural Chemistry,augue vel,79
2011-50696,Ingemar Ridgedell,1992-04-16,Bachelor of Science in Sugar Technology,porta,35
2009-24168,Sansone Seefus,1992-02-17,Bachelor of Science in Mathematics,hendrerit at,147
2016-51719,Galina Biagini,1994-02-06,Bachelor of Science in Civil Engineering,sagittis dui,76
2016-02650,Stefano Hallet,1996-12-05,Bachelor of Science in Agricultural Chemistry,et commodo,138
2015-85762,Myrna Nutty,1999-06-17,Bachelor of Science in Agricultural Education,ut blandit non,113
2003-47088,Curcio Wapples,1998-11-14,Bachelor of Science in Development Communication,diam neque vestibulum,54
2009-42774,Zaneta Brosnan,1991-01-07,Bachelor of Science in Sugar Technology,porttitor lacus,166
2017-76708,Vanda Grzes,1991-03-26,Bachelor of Science in Agricultural Biotechnology,pellentesque at,112
2011-84591,Abbey Piccard,1999-12-02,Bachelor of Science in Sugar Technology,pretium quis,35
1994-41526,Tobias Agiolfinger,1997-06-06,Bachelor of Science in Applied Physics,mauris,127
2013-15960,Ari Naylor,1991-04-08,Bachelor of Science in Development Communication,lectus aliquam sit,1
2016-76499,Velvet Hovy,1998-01-09,Bachelor of Science in Agricultural and Biosystems Engineering,vulputate,25
2005-67217,Robinetta Leask,1998-12-08,Bachelor of Science in Agricultural Business,convallis duis,108
2013-03094,Carmine McQuarrie,1998-11-21,Bachelor of Science in Food Technology,duis bibendum morbi,3
1992-11356,Lana Axtens,1994-04-30,Bachelor of Science in Sugar Technology,nisl,4
2012-40088,Bay Lyall,1997-02-19,Bachelor of Agriculture,mi pede,187
2014-56272,Katrina Brunn,1993-08-23,Bachelor of Science in Forest Products Engineering,sit amet nulla,167
1995-29923,Tallia Arrighini,1992-02-06,Bachelor of Science in Industrial Engineering,potenti,96
2013-92808,Nanette Madrell,1999-06-29,Bachelor of Science in Forest Products Engineering,turpis a pede,48
2011-65237,Addy Rowaszkiewicz,1992-01-04,Bachelor of Science in Zoology,in,77
1993-85120,Irina Goodbur,1992-12-02,Bachelor of Science in Sugar Technology,auctor,52
1996-88327,Carmel Baiden,1999-07-29,Bachelor of Science in Forest Products Engineering,vivamus in,38
1999-98254,Susann Siegertsz,1994-04-04,Bachelor of Science in Mathematics,egestas metus aenean,138
1990-38162,Sabrina Gapp,1998-05-17,Bachelor of Science in Agricultural Biotechnology,mauris eget,38
1998-84658,Silvanus Chadburn,1990-11-29,Bachelor of Science in Chemistry,erat tortor sollicitudin,135
1993-82333,Ingeborg Mathey,1991-01-12,Bachelor of Science in Agricultural Business,vivamus metus,181
2002-34177,Wash Orcott,1992-08-22,Bachelor of Science in Mathematics,in porttitor pede,55
2017-59391,Rodger Brabbs,1994-09-25,Bachelor of Science in Agricultural Education,lacus purus aliquet,6
2008-68313,Adey Sambidge,1995-10-04,Bachelor of Science in Agricultural Education,hac habitasse,80
2013-14304,Shaine Braunthal,1996-09-13,Bachelor of Science in Agricultural Extension,blandit non,179
2013-69503,Starlin Husthwaite,1993-04-12,Bachelor of Arts in Philosophy,ut at dolor,81
2014-83319,Ivar O' Bee,1997-10-31,Bachelor of Science in Computer Science,nunc nisl,15
1993-41812,Floria Mark,1999-07-03,Bachelor of Science in Agricultural Chemistry,luctus,117
2013-07756,Laurent Drain,1999-12-23,Bachelor of Science in Agricultural Economics,amet eleifend,1
2011-07115,Cynthie Austin,1997-05-29,Bachelor of Science in Computer Science,sapien non mi,101
2012-02121,Karie Simmen,1997-11-26,Bachelor of Science in Chemical Engineering,aenean lectus pellentesque,128
1991-10084,Coop Scarratt,1990-09-14,Bachelor of Arts in Sociology,consectetuer adipiscing elit,54
1998-33710,Mychal Petyakov,1996-10-10,Bachelor of Science in Mathematics,nisl nunc,112
2008-51692,Carroll Scraney,1993-12-15,Bachelor of Science in Forestry,in quis justo,165
2005-67408,Birk Ilett,1993-04-27,Bachelor of Science in Agricultural and Biosystems Engineering,tincidunt nulla,26
1994-22936,Priscilla Yanele,1993-01-02,Bachelor of Science in Mathematics,quam,162
1995-19645,Kalinda Ullrich,1992-04-19,Bachelor of Science in Computer Science,nam dui,106
2004-91301,Nana Whatling,1996-12-17,Bachelor of Science in Civil Engineering,dis parturient,49
2007-93648,Ilyssa Muspratt,1991-11-28,Bachelor of Science in Botany,luctus,24
2014-57929,Dareen Ruggier,1996-12-19,Bachelor of Arts in Philosophy,lacinia,149
2019-95383,Leonid Buckthought,1998-04-10,Bachelor of Agriculture,massa id nisl,24
2017-86174,Suzette Dmych,1994-09-19,Bachelor of Science in Forestry,nibh in,9
2008-98989,Ricki Jeandon,1998-02-02,Bachelor of Science in Agribusiness Management,quis turpis,6
2018-57260,Catlaina O'Hagan,1998-07-15,Bachelor of Science in Computer Science,id justo sit,26
1994-67768,Alameda Skillings,1997-11-21,Bachelor of Science in Agricultural Biotechnology,nibh in lectus,151
1998-91948,Barthel O' Brian,1996-09-13,Bachelor of Science in Forest Products Engineering,donec dapibus,126
2018-40996,Marybelle McVaugh,1997-03-31,Bachelor of Science in Human Ecology,elit sodales,191
1991-01242,Lurline Melliard,1992-04-06,Bachelor of Science in Nutrition,quis justo maecenas,93
2012-80747,Aubrette Ros,1994-05-15,Bachelor of Science in Agricultural Economics,mi pede malesuada,60
2000-62519,Melisa Pinkie,1997-06-06,Bachelor of Arts in Philosophy,magna,75
2007-87597,Krystal Shotboulte,2000-11-01,Bachelor of Science in Agricultural Extension,lectus pellentesque eget,1
1995-74110,Sunny Lochead,1999-03-29,Bachelor of Arts in Communication Arts,consectetuer adipiscing,63
1990-06589,Cherise Lamberton,1995-03-14,Bachelor of Science in Agricultural Business,adipiscing molestie hendrerit,193
1997-35597,Onida Gamage,1998-10-12,Bachelor of Science in Sugar Technology,semper,24
2003-68127,Beth Caulier,1999-08-22,Bachelor of Science in Zoology,ac enim in,57
2010-34658,Bronnie Caston,1993-04-15,Bachelor of Science in Mathematics,dictumst etiam faucibus,49
2010-14694,Chester Gyrgorcewicx,1992-08-27,Bachelor of Arts in Philosophy,ultrices,124
2005-46440,Mariette Waskett,1993-12-19,Bachelor of Arts in Sociology,proin interdum,167
2019-74831,Gunner Ivett,1998-02-11,Bachelor of Science in Electrical Engineering,semper rutrum,190
2004-13834,Joly Fridd,1994-04-05,Bachelor of Science in Zoology,sodales scelerisque,185
2015-07324,Cory Gull,1993-07-06,Bachelor of Science in Botany,sagittis,132
1996-19331,Corny Shinefield,1993-03-12,Bachelor of Science in Agricultural Chemistry,convallis eget eleifend,27
2002-58785,Magda Barringer,1993-08-01,Bachelor of Science in Agriculture,maecenas,36
1993-52188,Scarlet Ramard,1992-01-16,Bachelor of Arts in Philosophy,dis parturient,15
2006-25052,Guy Abelwhite,1996-11-06,Bachelor of Science in Home Technology,morbi vestibulum velit,27
2013-79602,Chryste Bumford,1998-12-02,Bachelor of Science in Zoology,amet,64
2014-29269,Evie Snoddon,1998-05-29,Bachelor of Science in Biology,id ligula suspendisse,116
2001-23365,Roxy Fakes,1994-11-20,Bachelor of Science in Nutrition,sed magna,7
2012-46728,Heindrick McCafferky,1993-12-07,Bachelor of Science in Agricultural Biotechnology,sapien placerat,126
2017-97487,Georgie McKomb,1994-08-05,Bachelor of Science in Agricultural and Biosystems Engineering,metus aenean fermentum,180
2015-57939,Granville Kelsow,1991-08-04,Bachelor of Science in Botany,faucibus cursus urna,48
2014-04488,Carlina Chetter,1990-04-24,Bachelor of Science in Applied Mathematics,ornare,151
2008-51085,Ingra Carrell,1997-06-12,Bachelor of Science in Economics,ac,87
2013-23911,Willi Gambie,1995-06-16,Bachelor of Science in Agricultural Economics,sed vestibulum sit,183
2005-29677,Dallas Blackwell,1994-05-21,Bachelor of Science in Forestry,id ornare,25
1995-86225,Nicky Gooderidge,1990-10-30,Bachelor of Arts in Communication Arts,vestibulum eget,2
2010-04533,Dorri Harkins,1994-06-25,Bachelor of Science in Agribusiness Management,vel nulla eget,100
1990-45426,Leonhard Whitely,1992-11-15,Bachelor of Science in Electrical Engineering,turpis,119
1998-16230,Jewelle Bellingham,1992-04-03,Bachelor of Science in Agricultural Extension,in libero ut,185
2005-72877,Kerrin Kilday,1994-10-19,Bachelor of Science in Forestry,in tempus,59
2013-81435,Lilias Long,1999-07-08,Bachelor of Science in Electrical Engineering,lacinia,153
2011-34612,Peadar Kinnard,1990-03-21,Bachelor of Science in Civil Engineering,nulla suspendisse potenti,159
1994-17040,Genia Gimbrett,1993-09-08,Bachelor of Science in Agriculture,in eleifend,196
1999-43490,Alexandrina Godbolt,2000-02-17,Bachelor of Science in Applied Mathematics,nulla ut erat,157
2016-18972,Ted Cicchetto,1995-09-19,Bachelor of Science in Human Ecology,ullamcorper,124
2017-35885,Prisca Waterstone,1992-07-29,Bachelor of Science in Agricultural Extension,orci,92
2007-39166,Julie Fawcus,1998-09-13,Bachelor of Science in Agricultural Education,accumsan tellus nisi,14
2016-90986,Jennine Crosio,1997-10-03,Bachelor of Science in Civil Engineering,a odio,112
2019-23770,Miguela Whitehair,1996-05-13,Bachelor of Science in Sugar Technology,lectus aliquam,52
2011-63926,Melina Baudouin,1996-10-11,Bachelor of Science in Biology,lobortis ligula,175
2014-95935,Kelby Kunes,1999-11-22,Bachelor of Science in Agricultural Biotechnology,malesuada in imperdiet,80
2018-06548,Jess Carlan,1996-05-27,Bachelor of Science in Computer Science,morbi non lectus,174
2007-09218,Aaren Shama,1991-01-11,Bachelor of Science in Applied Physics,id consequat in,111
1992-87773,Wainwright Francais,1992-09-23,Bachelor of Arts in Communication Arts,iaculis congue vivamus,40
2003-23783,Zachariah Gautrey,1996-11-23,Bachelor of Science in Agricultural Economics,id,186
1994-90418,Petronille Drewitt,1998-04-02,Bachelor of Science in Agricultural Education,mi,84
2010-92959,Lorelei Nichol,1996-06-03,Bachelor of Science in Math and Science Teaching,vitae consectetuer eget,139
2012-29303,Maddie Balcombe,1999-08-26,Bachelor of Science in Agriculture,integer tincidunt ante,148
2014-17145,Ebeneser Burnham,1994-09-16,Bachelor of Science in Electrical Engineering,curabitur,187
1991-69278,Carolann Parkman,1994-12-27,Bachelor of Science in Civil Engineering,nulla eget,142
2018-52399,Kerby Ricoald,1991-10-24,Bachelor of Science in Agricultural Biotechnology,amet,172
2011-24785,Nels Illingworth,1990-10-20,Bachelor of Science in Development Communication,pellentesque,86
1996-08964,Patsy Grigoliis,1996-12-24,Bachelor of Science in Biology,ipsum,94
2017-65032,Ransom Hulme,1990-11-09,Bachelor of Science in Computer Science,a odio,174
1998-84388,Erena Bitten,1992-10-06,Bachelor of Agriculture,nisi nam,7
2012-63432,Tawnya Sollitt,1990-07-05,Bachelor of Science in Human Ecology,mi,117
2016-63895,Neils O'Hallagan,1994-05-19,Bachelor of Science in Civil Engineering,imperdiet et,35
2001-77220,Kit Kettleson,1991-07-01,Bachelor of Science in Agricultural and Biosystems Engineering,quam,34
2004-27599,Glenine D'Enrico,1999-05-27,Bachelor of Arts in Communication Arts,ornare,185
2013-16886,Peyter Kirsche,1993-07-21,Bachelor of Science in Agriculture,mollis molestie lorem,169
2002-76557,Harrie Borgars,1996-08-10,Bachelor of Science in Industrial Engineering,ligula,130
2003-87787,Sonnie Schieferstein,1991-02-01,Bachelor of Science in Computer Science,lobortis,184
2003-75703,Suzy Hanford,1994-12-03,Bachelor of Science in Forest Products Engineering,est et tempus,195
1995-14158,Geoffry Punch,1998-10-03,Bachelor of Science in Agricultural Education,tempus semper,52
2018-68434,Adelind Comsty,1995-01-30,Bachelor of Science in Agricultural and Biosystems Engineering,tempus,56
2006-79039,Lil McPolin,2000-09-02,Bachelor of Science in Chemistry,luctus et ultrices,175
1992-63904,Clarie Noah,1990-12-12,Bachelor of Science in Chemistry,justo morbi ut,93
2005-09797,Bianka Persse,1993-01-02,Bachelor of Arts in Philosophy,tortor duis mattis,144
1991-36838,Lauralee Olner,1994-06-07,Bachelor of Science in Human Ecology,donec odio justo,137
2003-68531,Yoko Goodacre,1996-07-09,Bachelor of Science in Botany,eget congue eget,33
2011-69319,Luke Pering,1999-08-10,Bachelor of Science in Sugar Technology,nunc vestibulum ante,195
1991-77156,Margery Westnedge,1993-09-23,Bachelor of Science in Agribusiness Management,dictumst maecenas ut,141
1997-28945,Holli McIlharga,1993-04-14,Bachelor of Science in Chemical Engineering,imperdiet et,49
2017-55418,Vince Holliar,1990-04-12,Bachelor of Science in Applied Mathematics,suscipit a,86
2010-48635,Rogers Pinnion,1994-12-26,Bachelor of Science in Applied Physics,sed sagittis nam,81
2018-85592,Etheline Dunniom,1995-02-03,Bachelor of Science in Forest Products Engineering,sed tincidunt eu,158
1995-95768,Meryl McQuaker,1999-01-05,Bachelor of Science in Biology,natoque penatibus,38
2001-13424,Francoise Roskeilly,1995-01-04,Bachelor of Science in Biology,pellentesque,102
1997-85654,Kennith Chesley,1990-03-07,Bachelor of Arts in Sociology,nunc,84
1994-65075,Barnett Toderini,1991-05-10,Bachelor of Arts in Philosophy,ornare,12
1994-15161,Damara Purdom,1993-06-22,Bachelor of Arts in Communication Arts,risus,146
1996-59161,Ingar Dingate,1993-10-31,Bachelor of Science in Industrial Engineering,augue aliquam erat,76
2019-26644,Patti Stearne,1995-11-23,Bachelor of Agriculture,eget elit,197
2013-27628,Dame Darben,1998-01-23,Bachelor of Science in Biology,sit amet,60
2007-03219,Zora Kasman,1996-09-29,Bachelor of Arts in Communication Arts,elementum ligula,177
1992-04158,Rubetta Dayly,1992-01-30,Bachelor of Science in Agriculture,mauris,168
2015-11503,Frazer Lorait,2000-09-27,Bachelor of Agriculture,nulla ultrices,118
2005-38889,Shurlocke Kenafaque,1994-09-26,Bachelor of Science in Nutrition,eu mi,107
2016-00099,Oswell Kob,1992-05-09,Bachelor of Science in Forest Products Engineering,iaculis,99
2018-45458,Pavla Bridges,1992-01-14,Bachelor of Science in Agricultural Extension,sapien placerat ante,137
